-0.764944,0.0939593,-0.0325363,-0.20297,-0.0438857,-0.160983,0.828685,-1.44508,-0.38981,-0.939421,4.94465,18.4433,-2.14205,2.84238,12.238,-1.9492,-2.13382,3.21136
-0.723159,0.0856842,-0.0294129,-0.223118,-0.0373021,-0.155859,0.619171,-1.33688,-1.95681,-1.52447,5.20675,18.5774,-1.82829,2.23467,12.462,-1.85283,-2.64441,3.07015
-0.683753,0.0798842,-0.0268234,-0.212061,-0.0335175,-0.144116,0.693362,-0.742111,0.329799,-1.55916,5.01669,18.5423,-1.83638,2.04333,12.4194,-1.84665,-2.70293,2.72554
-0.646877,0.0720812,-0.0237813,-0.241044,-0.0221999,-0.139053,0.577318,-0.875913,-0.264466,-1.8147,4.78647,18.5388,-1.3953,1.41673,13.0061,-1.63206,-2.78111,1.12752
-0.612137,0.0655831,-0.0215788,-0.253516,-0.0173243,-0.133519,0.663126,-0.132995,0.329452,-1.81213,4.58493,18.5265,-1.38428,1.23206,12.9394,-1.59758,-2.84494,0.873433
-0.578886,0.0622395,-0.0234155,-0.206853,-0.0427453,-0.123823,0.697709,-0.595897,0.397046,-1.70471,4.1306,18.8598,-1.0812,0.932257,14.0447,-1.21154,-2.72107,-2.97021
-0.546892,0.0604453,-0.0338972,-0.106714,-0.122353,-0.107346,0.693361,0.203411,0.0203676,-1.72578,3.94661,18.8275,-1.1028,0.766584,13.9811,-1.21457,-3.03901,-0.631565
-0.515323,0.0594656,-0.0461578,0.00875264,-0.216679,-0.085106,0.809725,-0.514553,1.02607,-1.5208,3.18244,19.1577,-1.05627,0.616957,15.4192,-0.66478,-2.81635,-5.56342
-0.483433,0.0572983,-0.057248,0.0985348,-0.311445,-0.0616451,0.723444,0.245683,-0.219764,-1.53666,2.9922,19.0629,-1.0778,0.413083,15.4194,-0.791698,-2.9291,-0.890608
-0.454764,0.0581299,-0.0623314,0.201599,-0.366866,-0.0416006,0.850499,-0.288462,1.55958,-1.33718,1.90494,19.1545,-1.31513,0.219917,16.6016,-0.620261,-2.87565,-3.77497
-0.429573,0.0547649,-0.0635807,0.218368,-0.384054,-0.0380162,0.776654,0.413789,-0.153702,-1.33245,1.72924,19.0366,-1.32998,0.0375873,16.5213,-0.684902,-2.36116,-0.234703
-0.407231,0.0563819,-0.060912,0.29094,-0.381841,-0.0279259,0.829905,0.164264,2.44111,-1.31314,0.661417,19.0947,-1.66761,-0.0616532,16.5481,-0.691847,-2.60052,-1.1548
-0.388053,0.0524911,-0.0568738,0.269096,-0.354844,-0.0345853,0.75502,0.727182,-0.183491,-1.29763,0.491401,18.9263,-1.67431,-0.256615,16.4561,-0.622511,-1.55128,0.153658
-0.370458,0.0520186,-0.0514982,0.292671,-0.326931,-0.0318407,0.856804,0.436125,2.61116,-1.34876,-0.498078,18.5773,-1.84785,-0.256037,15.7956,-0.774353,-1.99982,-0.0377315
-0.355012,0.0490867,-0.0455075,0.275297,-0.289739,-0.0358834,0.758393,0.832263,-0.376357,-1.34727,-0.668751,18.4044,-1.85954,-0.462776,15.7147,-0.725663,-0.846142,0.0515624
-0.340695,0.0491801,-0.0389173,0.302335,-0.256906,-0.0295428,0.856623,0.549756,2.51398,-1.39808,-1.55708,17.7324,-1.7675,-0.565755,14.8074,-1.00194,-1.37445,1.34652
-0.32812,0.0475008,-0.0317804,0.300596,-0.2193,-0.0273104,0.766573,0.779443,-0.359079,-1.41262,-1.73502,17.5965,-1.7805,-0.775452,14.7298,-0.865319,-0.222078,-0.080977
-0.316506,0.0480849,-0.0244628,0.333704,-0.187452,-0.0175995,0.902163,0.841175,1.49288,-1.57024,-2.25778,16.8219,-1.41922,-0.921122,13.7981,-1.24996,-0.38558,3.2578
