24185000000,-1.1562934769824297e-05,-1.5089246484936845e-05,-5.1728557382727555e-05,4.8220161261269823e-05,-2.2090910533734132e-05,-3.2023925086832605e-05,-0.00033906564931385219,-8.6791398643981665e-05,-0.00010519095667405054,0.00036078086122870445,-0.00012764721759594977,-2.1112569811521098e-05,-0.00061664392706006765,6.9256875576684251e-05,2.8186269446450751e-05,0.00062276184326037765,0.00013234044308774173,5.0104845286114141e-05
24190000000,-1.1565274755831256e-05,-1.5085697760160939e-05,-5.1728247384771146e-05,4.8209247324848548e-05,-2.2094831365393475e-05,-3.2001920772017911e-05,-0.00033907211036421359,-8.6793552327435464e-05,-0.00010517142800381407,0.00036075885873287916,-0.00012764868733938783,-2.1127694708411582e-05,-0.00061661965446546674,6.9264409830793738e-05,2.8180818844703026e-05,0.00062276062089949846,0.00013232228229753673,5.0100883527193218e-05
24195000000,-1.1567612619517682e-05,-1.5082152771853491e-05,-5.1727935759626837e-05,4.8198340664384887e-05,-2.2098750378063414e-05,-3.1979931009118445e-05,-0.00033907854231074452,-8.6795706010889262e-05,-0.00010515190660953522,0.00036073688534088433,-0.00012765012797899544,-2.1142806872376241e-05,-0.00061659535276703537,6.9271940446924418e-05,2.8175370971439406e-05,0.00062275936943478882,0.00013230411423137411,5.0096927225240506e-05
24200000000,-1.1569949238045083e-05,-1.5078609627072114e-05,-5.1727624318917447e-05,4.818744127987884e-05,-2.2102665752754547e-05,-3.1957955798134208e-05,-0.00033908497425727546,-8.6797852418385446e-05,-0.00010513239976717159,0.00036071491194888949,-0.00012765158317051828,-2.1157908122404478e-05,-0.00061657110927626491,6.9279463787097484e-05,2.8169928555143997e-05,0.00062275811797007918,0.00013228597526904196,5.0092970923287794e-05
24205000000,-1.1572284631743686e-05,-1.5075069151309818e-05,-5.1727314801190847e-05,4.8176549171330407e-05,-2.2106580217950977e-05,-3.1935998777044006e-05,-0.0003390914062038064,-8.679999882588163e-05,-0.00010511290383874439,0.00036069296766072512,-0.0001276530310860835,-2.1172997549001593e-05,-0.00061654683668166399,6.9286976213334128e-05,2.8164487957837991e-05,0.0006227568956092,0.0001322678363067098,5.0089020078303292e-05
24210000000,-1.1574617967014337e-05,-1.5071528894650351e-05,-5.1727001751116594e-05,4.8165664338739589e-05,-2.2110491045168601e-05,-3.1914056307869032e-05,-0.00033909783815033734,-8.68021379574202e-05,-0.0001050934151862748,0.00036067102337256074,-0.00012765447900164872,-2.1188076061662287e-05,-0.00061652256408706307,6.9294488639570773e-05,2.8159052817500196e-05,0.0006227556150406599,0.00013224971189629287,5.0085072871297598e-05
24215000000,-1.1576949409051707e-05,-1.5067993130880322e-05,-5.1726688988200821e-05,4.8154784963116981e-05,-2.2114400962891523e-05,-3.189213020959869e-05,-0.00033910424099303782,-8.6804280726937577e-05,-0.00010507394472369924,0.00036064909363631159,-0.00012765591236529872,-2.1203142750891857e-05,-0.00061649834970012307,6.9301990151870996e-05,2.8153621315141208e-05,0.00062275436357595026,0.00013223159476183355,5.0081125664291903e-05
24220000000,-1.1579279082728731e-05,-1.5064459228054694e-05,-5.1726376386742641e-05,4.8143912863451988e-05,-2.2118309061625041e-05,-3.187021502526477e-05,-0.00033911061473190784,-8.680641622049734e-05,-0.0001050544815370813,0.00036062716390006244,-0.00012765734572894871,-2.1218196707195602e-05,-0.00061647413531318307,6.9309484388213605e-05,2.8148193450761028e-05,0.00062275311211124063,0.00013221349217928946,5.0077182095265016e-05
24225000000,-1.1581607603892084e-05,-1.5060926269285338e-05,-5.1726063855365202e-05,4.8133050768228713e-05,-2.2122213977127103e-05,-3.1848319849814288e-05,-0.00033911701757460833,-8.6808551714057103e-05,-0.0001050350365403574,0.00036060524143977091,-0.0001276587754546199,-2.1233240204310277e-05,-0.00061644987727049738,6.9316973167588003e-05,2.8142768314864952e-05,0.00062275180243887007,0.00013219540051068179,5.0073243983206339e-05
24230000000,-1.1583934032347084e-05,-1.5057397081103724e-05,-5.1725751578102404e-05,4.8122190491994843e-05,-2.212611616414506e-05,-3.1826439226279035e-05,-0.00033912339131347835,-8.6810687207616866e-05,-0.0001050155988195911,0.0003605833335313946,-0.00012766019790433347,-2.124827187799383e-05,-0.00061642564833164215,6.932445103302598e-05,2.8137348635937087e-05,0.00062275055097416043,0.00013217731611803174,5.0069305871147662e-05
24235000000,-1.1586259559435335e-05,-1.5053870547023326e-05,-5.1725439392810321e-05,4.8111342039192095e-05,-2.2130016986920964e-05,-3.180457315465901e-05,-0.00033912976505234838,-8.6812815425219014e-05,-0.00010499617201276124,0.00036056143289897591,-0.00012766163126798347,-2.1263291273498908e-05,-0.00061640146304853261,6.9331927079474553e-05,2.8131930775998626e-05,0.00062274924130178988,0.00013215924991527572,5.0065371397067793e-05
24240000000,-1.1588582998853491e-05,-1.5050344153324399e-05,-5.1725123704655233e-05,4.8100497224368155e-05,-2.2133914171718061e-05,-3.1782725272933021e-05,-0.00033913610968738794,-8.6814943642821163e-05,-0.00010497675975784659,0.00036053956137038767,-0.00012766305007971823,-2.1278299755067565e-05,-0.00061637727776542306,6.9339395849965513e-05,2.8126518373028375e-05,0.00062274793162941933,0.00013214118371251971,5.006144056096673e-05
24245000000,-1.1590904819667683e-05,-1.5046822252012192e-05,-5.1724811903035405e-05,4.8089661504491232e-05,-2.2137811356515158e-05,-3.1760890124132857e-05,-0.00033914246887434274,-8.6817068222444504e-05,-0.00010495735477888957,0.00036051767528988421,-0.00012766446161549538,-2.1293296413205098e-05,-0.00061635306337848306,6.9346853706520051e-05,2.8121107789047528e-05,0.00062274662195704877,0.00013212313933763653,5.0057511543855071e-05
