3.83493,-0.033474,0.274374,-0.00249887,0.0129035,-0.011739,0.999845,-0.271585,0.899173,-1.88968,0.315131,0.96644,-1.8699,-0.289278,1.05952,-1.78554,0.299845,0.939359,-1.8931,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0205453,0.0118962,-0.024162,-0.033772,0.0425163,0.0124794,-0.0238998,0.0559884,-0.0660723,0.0283015,0.164651,-0.239179,-0.00603273,0.0662033,-0.0647965,-0.0430043,0.146973,-1.16927,0,0,0,0,0,0,0,0,0,0
3.83509,-0.0333841,0.274171,-0.00264116,0.0130738,-0.0116839,0.999843,-0.271744,0.899571,-1.89011,0.315401,0.967851,-1.87197,-0.289303,1.06006,-1.78607,0.299249,0.939869,-1.9033,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0138673,0.00788076,-0.0172029,-0.0253393,0.029417,0.00944302,-0.0112146,0.0281536,-0.0285392,0.0280646,0.131418,-0.199115,-0.000344126,0.0445271,-0.0450277,-0.0889284,-0.0433971,-0.828095,0,0,0,0,0,0,0,0,0,0
3.83519,-0.0333314,0.274027,-0.00273289,0.013194,-0.0116459,0.999841,-0.27181,0.89972,-1.89025,0.315692,0.96905,-1.87389,-0.289294,1.06038,-1.78641,0.297895,0.938,-1.90871,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.00813708,0.00413056,-0.0121769,-0.0141231,0.0194316,0.00617869,-0.00437309,0.00831703,-0.00628794,0.0281705,0.110261,-0.181511,0.00104246,0.025077,-0.0286492,-0.151851,-0.253837,-0.424252,0,0,0,0,0,0,0,0,0,0
3.83524,-0.0333106,0.273928,-0.00276868,0.013259,-0.0116207,0.999841,-0.27184,0.899742,-1.89024,0.315945,0.970022,-1.87553,-0.289288,1.06057,-1.78664,0.296193,0.934653,-1.91129,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.00403233,0.00107001,-0.00854007,-0.00310019,0.00945312,0.00444876,-0.00228229,-0.000566445,0.00493884,0.025699,0.0968296,-0.16613,0.000551346,0.0148371,-0.0180674,-0.212856,-0.441015,0.031082,0,0,0,0,0,0,0,0,0,0
3.83527,-0.0333171,0.273852,-0.00275199,0.01328,-0.0115983,0.999841,-0.271865,0.899729,-1.89015,0.316202,0.971028,-1.87724,-0.289288,1.06071,-1.78679,0.293476,0.928722,-1.90676,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.00200607,-0.00156825,-0.00700388,0.00751584,0.000123775,0.00484869,-0.00316881,-0.00103884,0.0113666,0.0239243,0.10007,-0.167237,-0.000685467,0.0157155,-0.0152433,-0.28273,-0.645846,0.579303,0,0,0,0,0,0,0,0,0,0
3.83528,-0.0333475,0.27379,-0.00268186,0.0132437,-0.0115686,0.999842,-0.271908,0.899727,-1.88995,0.316394,0.972014,-1.87878,-0.289306,1.06092,-1.78695,0.290432,0.921523,-1.89831,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.00173697,-0.00391357,-0.00538326,0.0184039,-0.0135676,0.00785606,-0.00432425,0.00078488,0.0328734,0.0164761,0.105764,-0.150805,-0.00183175,0.0286711,-0.0151648,-0.402261,-0.895351,1.57634,0,0,0,0,0,0,0,0,0,0
3.83531,-0.0334042,0.273742,-0.00254962,0.0131017,-0.0115135,0.999845,-0.271957,0.899813,-1.88938,0.316502,0.973256,-1.88023,-0.289341,1.06145,-1.78716,0.285087,0.910202,-1.87154,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.00415533,-0.00681413,-0.00489774,0.0327005,-0.039224,0.0133338,-0.00571687,0.0168226,0.069032,0.00647764,0.135522,-0.136588,-0.00588093,0.072855,-0.0301337,-0.548517,-1.17181,2.95607,0,0,0,0,0,0,0,0,0,0
3.83537,-0.0334955,0.273676,-0.00234416,0.0128028,-0.0114349,0.99985,-0.272029,0.900212,-1.88861,0.31651,0.974812,-1.88145,-0.289461,1.06267,-1.7878,0.280175,0.899362,-1.84174,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.00835571,-0.0104389,-0.00871837,0.0467594,-0.0796882,0.0187811,-0.0090788,0.0710538,0.0755301,-0.00183852,0.182927,-0.117009,-0.019699,0.184647,-0.11594,-0.465387,-1.01242,3.32385,0,0,0,0,0,0,0,0,0,0
3.83546,-0.0336102,0.273593,-0.00210642,0.0124526,-0.011358,0.999856,-0.272131,0.901021,-1.88812,0.316529,0.976612,-1.88266,-0.289701,1.06459,-1.78915,0.277485,0.894102,-1.82147,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0103261,-0.0113705,-0.00661243,0.0484642,-0.0547108,0.0135095,-0.0111447,0.0756883,0.0339831,0.00358886,0.16615,-0.121211,-0.0237368,0.172536,-0.124554,-0.147557,-0.22832,1.10523,0,0,0,0,0,0,0,0,0,0
3.83557,-0.0337258,0.273561,-0.00188614,0.0123102,-0.0113045,0.999859,-0.272215,0.901602,-1.88793,0.316606,0.977972,-1.8838,-0.289858,1.06587,-1.79009,0.276946,0.893936,-1.81721,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0116261,-0.0110197,-0.000714146,0.0413219,-0.0124467,0.00980925,-0.0073613,0.0496392,0.0091297,0.00967843,0.119537,-0.109985,-0.0126709,0.108129,-0.083961,-0.0120518,0.075619,0.123981,0,0,0,0,0,0,0,0,0,0
3.83569,-0.0338322,0.273585,-0.00169601,0.0123539,-0.0112638,0.999859,-0.272284,0.901958,-1.88792,0.316706,0.978927,-1.88481,-0.289927,1.06659,-1.79065,0.277086,0.895136,-1.81787,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0135594,-0.0098557,0.00476845,0.0361354,0.0224592,0.00793153,-0.00716447,0.0263372,-0.00274771,0.00913053,0.0804045,-0.09439,-0.00346844,0.0473177,-0.0339203,0.0234028,0.130721,-0.139819,0,0,0,0,0,0,0,0,0,0
3.83584,-0.0339261,0.273654,-0.0015256,0.0125316,-0.0112317,0.999857,-0.272353,0.902137,-1.88796,0.316779,0.979563,-1.88563,-0.289927,1.06682,-1.79074,0.277341,0.896351,-1.8195,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0157462,-0.00849455,0.00864825,0.0320613,0.0426438,0.00628291,-0.00686868,0.0136907,-0.0034834,0.00526487,0.0531106,-0.0711277,0.00101383,0.0124419,0.000914356,0.0242397,0.110756,-0.16186,0,0,0,0,0,0,0,0,0,0
3.83601,-0.0340057,0.27375,-0.00137321,0.0127685,-0.0112081,0.999855,-0.272419,0.90225,-1.88797,0.316801,0.979984,-1.88618,-0.289916,1.06686,-1.79063,0.277532,0.897271,-1.82088,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0175396,-0.00708404,0.0107588,0.0284971,0.0502164,0.00433725,-0.00621235,0.0106896,0.000378519,0.00058266,0.0365286,-0.0460685,0.00154061,-0.00115995,0.0205635,0.0153954,0.079885,-0.119326,0,0,0,0,0,0,0,0,0,0
3.83619,-0.034074,0.27386,-0.00123586,0.013031,-0.0111947,0.999852,-0.272473,0.902344,-1.88794,0.316788,0.98028,-1.88653,-0.28989,1.06675,-1.79026,0.277628,0.897891,-1.82177,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0185782,-0.00605514,0.0119349,0.0257708,0.054255,0.00237653,-0.00457882,0.00708722,0.00722286,-0.00260692,0.0239266,-0.026424,0.0033964,-0.0179004,0.0463991,0.00597225,0.0499576,-0.0690863,0,0,0,0,0,0,0,0,0,0
3.83638,-0.0341342,0.273978,-0.00111307,0.0133067,-0.0111875,0.999848,-0.272506,0.902396,-1.88783,0.316754,0.980467,-1.88671,-0.289833,1.06648,-1.78965,0.27765,0.898241,-1.8222,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0190769,-0.00538743,0.0123512,0.0227581,0.0556972,0.00158381,-0.00254958,0.00482908,0.0123149,-0.00365608,0.0166674,-0.0141375,0.00729071,-0.0326974,0.0699179,0.000126969,0.0270387,-0.0273149,0,0,0,0,0,0,0,0,0,0
3.83658,-0.0341893,0.274094,-0.00100243,0.013579,-0.0111821,0.999845,-0.272525,0.902453,-1.88769,0.316715,0.98063,-1.88682,-0.289745,1.06611,-1.78887,0.277631,0.898446,-1.82232,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0192231,-0.00489762,0.0117059,0.0210654,0.0536499,0.0013672,-0.00173428,0.00530081,0.0163741,-0.00445342,0.0159811,-0.00880505,0.00873283,-0.0369123,0.0802543,-0.00308426,0.0177955,-0.00557596,0,0,0,0,0,0,0,0,0,0
3.83677,-0.0342396,0.274197,-0.000895211,0.0138345,-0.0111773,0.999841,-0.272544,0.902498,-1.8875,0.316662,0.980788,-1.88689,-0.289667,1.06576,-1.78808,0.277585,0.8986,-1.82232,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0184105,-0.00447986,0.0102658,0.0206666,0.0496652,0.00122961,-0.00212313,0.00452371,0.0198199,-0.00558466,0.0161707,-0.00730005,0.00727949,-0.0349701,0.0785017,-0.00545841,0.0139777,0.00359576,0,0,0,0,0,0,0,0,0,0
3.83695,-0.0342864,0.274285,-0.000791134,0.0140664,-0.011173,0.999838,-0.272567,0.902543,-1.88729,0.316605,0.980956,-1.88697,-0.289604,1.06543,-1.78733,0.277525,0.898732,-1.82226,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0169196,-0.00417762,0.00839346,0.0200431,0.0443542,0.00120689,-0.00218752,0.00320027,0.0222105,-0.00579318,0.0165152,-0.00765753,0.00523779,-0.0286875,0.0683198,-0.00600205,0.0133546,0.00479162,0,0,0,0,0,0,0,0,0,0
3.8371,-0.03433,0.274352,-0.000691778,0.0142691,-0.0111684,0.999836,-0.272589,0.902566,-1.88707,0.31655,0.981118,-1.88705,-0.289563,1.06519,-1.78673,0.277468,0.898861,-1.82222,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0147551,-0.00392637,0.00633218,0.0188825,0.038332,0.00124741,-0.00222169,0.00211468,0.0209285,-0.00512097,0.0160255,-0.00910624,0.00364296,-0.022508,0.0557967,-0.00544919,0.0123656,0.00347349,0,0,0,0,0,0,0,0,0,0
3.83724,-0.0343706,0.274399,-0.000600065,0.0144401,-0.0111632,0.999833,-0.27261,0.90258,-1.88687,0.316505,0.981271,-1.88715,-0.289535,1.065,-1.78626,0.27742,0.898979,-1.8222,1.51889,-2.23601,-3.0054,-3.40657,-0.0415362,0.0771825,0.0186174,0.0100439,0.00780557,0.116156,0.0121169,-0.00363841,0.00430877,0.0172742,0.0315511,0.00138771,-0.00192748,-0.000251564,0.0203604,-0.004315,0.0143705,-0.00987916,0.0017947,-0.0143174,0.0388424,-0.00418078,0.011758,-0.000229143,0,0,0,0,0,0,0,0,0,0
