0.324131,-0.186483,0.356589,3.90247,-0.490619,0.268697,-7.10684,0.79291,3.32549,-1.21356,3.03578,2.48945,-6.4607,0.788715,6.89823,-0.224512,2.65104,4.65377
0.335466,0.000284466,0.253119,0.4235,0.042452,0.35021,-6.92216,-1.04035,8.10688,-3.98654,3.01023,-0.984727,-8.25608,-0.598645,9.65055,-2.84997,3.31941,0.654443
0.328031,0.0664453,0.194299,-1.24322,0.212692,0.2286,-2.45807,0.215969,5.66991,0.288474,0.561303,0.730769,-3.39765,0.377534,7.89529,0.892226,1.24735,2.08243
0.308557,0.0782759,0.176118,-1.37297,0.148247,0.211767,0.26564,1.07058,4.22955,1.53646,-0.216116,0.686841,-0.295464,1.39526,6.24707,2.79556,0.970734,4.12975
0.2858,0.0808344,0.167847,-1.27219,0.0518627,0.228483,0.724174,1.22794,4.05931,2.20279,-0.912992,3.33397,0.585208,1.81451,5.53876,3.73463,0.464904,5.74682
0.26527,0.0807042,0.155475,-1.14327,0.0119585,0.253988,-0.127098,1.22526,4.13926,2.99943,-1.91212,7.88589,-0.11599,1.94864,5.12904,4.17887,-0.0923719,8.2803
0.24772,0.0780068,0.139451,-1.03239,-0.00654019,0.285943,-0.725434,1.30206,4.12484,2.94146,-2.34232,9.90959,-0.621795,2.10058,4.78598,4.13181,-0.346183,9.60637
0.232374,0.0744032,0.122477,-0.996825,-0.0085035,0.311184,-1.39979,1.3409,4.17966,2.58864,-2.4693,10.8151,-1.08141,2.21585,4.65229,3.90171,-0.377623,10.212
0.218735,0.069329,0.10597,-1.00205,-0.000441813,0.327649,-1.96788,1.34976,4.25872,2.28328,-2.42311,11.1454,-1.47738,2.26303,4.68493,3.72066,-0.313039,10.4646
0.206518,0.0628872,0.0903918,-1.02456,0.014175,0.33549,-2.36947,1.37357,4.29489,2.08907,-2.26618,11.1271,-1.80035,2.27125,4.79566,3.61535,-0.190241,10.4967
0.195161,0.0503818,0.077547,-0.868764,0.0253441,0.350363,-2.74363,1.42886,4.28239,1.92573,-1.98159,10.799,-2.15735,2.25225,4.97565,3.50425,0.0107432,10.3266
0.184866,0.0402062,0.0648563,-0.841573,0.0424121,0.342502,-2.88192,1.46901,4.25358,1.89396,-1.76547,10.4576,-2.32942,2.22515,5.09537,3.47327,0.151999,10.1326
0.175256,0.0288686,0.0534083,-0.792709,0.0583028,0.328445,-2.99047,1.50281,4.22219,1.89011,-1.47977,9.96045,-2.49403,2.16326,5.25951,3.4579,0.336862,9.83481
0.166212,0.0167047,0.0430029,-0.727607,0.0723539,0.310209,-3.04356,1.50741,4.21043,1.91421,-1.18629,9.4205,-2.60951,2.07182,5.44196,3.46517,0.525118,9.49934
0.157651,0.00393899,0.0334964,-0.648695,0.0844172,0.290671,-3.06319,1.49016,4.22144,1.95472,-0.891642,8.87343,-2.68919,1.9632,5.6423,3.48725,0.71399,9.15031
0.149519,-0.00932147,0.0248525,-0.555562,0.0954926,0.272255,-3.04979,1.4454,4.25766,2.01755,-0.645827,8.37126,-2.73995,1.83039,5.8659,3.52222,0.865229,8.82964
0.141739,-0.0226118,0.0169311,-0.462015,0.105575,0.254662,-2.99387,1.39418,4.31486,2.11598,-0.437672,7.92247,-2.76095,1.71603,6.06565,3.57091,0.971813,8.55492
0.134242,-0.0358095,0.00957178,-0.371049,0.113515,0.23867,-2.94758,1.35956,4.39267,2.19562,-0.283709,7.61081,-2.77482,1.67096,6.17839,3.60113,1.07671,8.31678
0.127018,-0.0485298,0.00264468,-0.297814,0.119602,0.221842,-2.86401,1.30932,4.5272,2.32152,-0.074004,7.16198,-2.79736,1.60554,6.37198,3.62656,1.17588,8.0539
0.120115,-0.0608333,-0.00405818,-0.242026,0.124103,0.205131,-2.79999,1.27938,4.64923,2.41656,0.0893415,6.81462,-2.81855,1.57289,6.52379,3.63345,1.26713,7.82515
0.113611,-0.0727114,-0.0106473,-0.204051,0.128687,0.190061,-2.73508,1.25943,4.73008,2.50535,0.23331,6.48438,-2.82066,1.52513,6.67477,3.65131,1.34135,7.61198
0.107544,-0.0842684,-0.0172051,-0.187143,0.134583,0.177287,-2.67401,1.23459,4.79888,2.58259,0.351782,6.18672,-2.81458,1.46674,6.82098,3.67074,1.39352,7.42713
0.102157,-0.0952919,-0.0244726,-0.229275,0.145543,0.164117,-2.61088,1.21309,4.86141,2.64858,0.422021,6.00522,-2.79586,1.43546,6.90994,3.69045,1.42092,7.30982
0.0968493,-0.100568,-0.0314994,-0.327666,0.168258,0.160345,-2.45427,1.16261,5.03599,2.76145,0.560663,5.69271,-2.76877,1.38843,7.06522,3.73658,1.50031,7.10575
