5636062.788602664,42904.58670641114,22656.91329735684,14970.94062897,-9447.760633273594,56919.62055806335,-138396.4894084058,2720526.210550943,433878.4822952844,-2583905.355723805
42904.58670641114,52895.40868674667,-0.9674584224309184,3412.723310426893,-16697.6928391908,-1263.329194394359,-76650.44522725635,193161.2449060641,2438.852998386913,-97488.44447322519
22656.91329735684,-0.9674584224310325,26754.21073804151,4920.016563867438,-4984.209648608005,20320.23359082401,-1080.139086793978,1208.367854934558,20199.22283129945,-188804.2423321502
14970.94062897,3412.723310426893,4920.016563867438,18686.00926175493,-460.0663499192926,9268.088374213014,-8153.399631601548,22441.42823766327,10645.09425209709,-98354.24907816022
-9447.76063327359,-16697.69283919081,-4984.209648608005,-460.0663499192935,846204.583215083,-194122.3962694779,152234.2953731729,-100759.8502912312,818813.1933590909,33661.21997563181
56919.62055806336,-1263.329194394361,20320.23359082401,9268.088374213014,-194122.3962694779,429489.0402000701,-35276.26807647874,-30514.56758423749,-296847.9767294794,-435260.4117621637
-138396.4894084058,-76650.44522725634,-1080.139086793977,-8153.399631601547,152234.2953731728,-35276.26807647872,498502.1457639178,-955478.5997859719,113837.4002684002,439348.0798552035
2720526.210550942,193161.244906064,1208.367854934558,22441.42823766328,-100759.8502912312,-30514.56758423746,-955478.5997859719,24996411.1062337,238446.8627092591,-2787910.643643333
433878.4822952844,2438.852998386912,20199.22283129945,10645.09425209709,818813.1933590909,-296847.9767294794,113837.4002684002,238446.8627092591,41880936.74826995,-91113.83004111814
-2583905.355723805,-97488.44447322519,-188804.2423321502,-98354.24907816022,33661.21997563181,-435260.4117621637,439348.0798552035,-2787910.643643332,-91113.83004111808,19548107.93437338
