window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,information_forgetting_factor,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
117,21700,18980.6517,0,14.0206333463,16193.0617878,2628035388.71,dropped_horizon_backward,1,423734461.379,23300.0808205,18164.1086657,16721.8347597,221900.895706,1541136.09963,766036.184042,1321025942.3,2604154880.31,5561132.07042,427410589.594,23362.1562783,18188.1441721,16729.1773483,224160.103798,1552076.03782,773413.534286,1332345083.65,2626098679.59,5585954.33905,1.32026502754,-2.21138518901,-3.00502417826,-3.26260019933,0.0313927358376,-0.0479079159085,0.134625351013,0.0269775112262,0.0165155399571,0.0703176547171
118,21800,20462.8435137,0,14.0218795637,16193.9582943,2650192069.85,dropped_horizon_backward,1,427410589.594,23362.1562783,18188.1441721,16729.1773483,224160.103798,1552076.03782,773413.534286,1332345083.65,2626098679.59,5585954.33905,431273951.477,23423.4040266,18199.3557289,16734.2808004,225884.642306,1563447.79025,781951.685423,1343999448.38,2648230242.25,5616631.8459,1.32030946783,-2.21172126513,-3.00397900508,-3.26092451815,0.0351125678497,-0.0496855673061,0.134147330022,0.0269410641593,0.0164753015899,0.0687251204328
119,21900,20797.7991743,0,14.0207283708,16194.9700797,2672909857.55,dropped_horizon_backward,1,431273951.477,23423.4040266,18199.3557289,16734.2808004,225884.642306,1563447.79025,781951.685423,1343999448.38,2648230242.25,5616631.8459,434687789.039,23489.5273478,18220.3496738,16743.2066581,228095.843191,1580159.88936,789912.406743,1355251062.3,2670912802.13,5681923.27266,1.32026841626,-2.21280812361,-3.00392755415,-3.25815562772,0.0338115669643,-0.0485872702947,0.134738326103,0.0269443759872,0.0164768992344,0.0690909090367
120,22000,19504.4736308,0,14.0210486189,16195.6260941,2694565525.28,dropped_horizon_backward,1,434687789.039,23489.5273478,18220.3496738,16743.2066581,228095.843191,1580159.88936,789912.406743,1355251062.3,2670912802.13,5681923.27266,438314092.293,23529.0462173,18244.9822956,16751.4152437,229964.550312,1594027.96138,795818.125544,1366479384.97,2692543732.13,5730235.26122,1.32027983666,-2.21278155971,-3.00439443512,-3.25808980846,0.0326453986659,-0.047774316793,0.134629998559,0.0269777336243,0.0164878734447,0.0698699000025
121,22100,21168.4443292,0,14.0229321899,16196.0972181,2717681062.82,dropped_horizon_backward,1,438314092.293,23529.0462173,18244.9822956,16751.4152437,229964.550312,1594027.96138,795818.125544,1366479384.97,2692543732.13,5730235.26122,442222760.219,23573.7139758,18264.7849624,16758.2834952,231460.37179,1605936.95986,801876.01735,1378402689.72,2715644228.8,5786177.21079,1.32034700155,-2.21325329158,-3.00305855501,-3.25640670352,0.0346159475036,-0.0487052583199,0.134033832745,0.0269381746502,0.0164714493487,0.0684930084168
122,22200,23438.4669492,0,14.021302649,16196.7199876,2740942652.33,dropped_horizon_backward,1,442222760.219,23573.7139758,18264.7849624,16758.2834952,231460.37179,1605936.95986,801876.01735,1378402689.72,2715644228.8,5786177.21079,445623676.79,23613.5967213,18288.3334844,16768.6056157,233393.732658,1623215.1507,808174.948933,1389404675.73,2738910560.48,5836716.57788,1.32028889546,-2.21415177817,-3.00338339388,-3.25499302022,0.0340696523589,-0.0490204158138,0.134944121714,0.0269413076735,0.0164903159864,0.0688849787403
123,22300,19403.5860177,0,14.0224383122,16197.6981369,2762937048.45,dropped_horizon_backward,1,445623676.79,23613.5967213,18288.3334844,16768.6056157,233393.732658,1623215.1507,808174.948933,1389404675.73,2738910560.48,5836716.57788,449327379.701,23677.6762928,18312.1335015,16776.0836488,235758.79816,1634210.33425,815950.165053,1400746974.85,2760899019.67,5861549.96682,1.3203293916,-2.21408442704,-3.00432696202,-3.25472094204,0.0321236982902,-0.0484193596733,0.134586889828,0.0269682213286,0.0165015720709,0.0698567934574
124,22400,20454.208108,0,14.0235661718,16198.5777133,2785140430.64,dropped_horizon_backward,1,449327379.701,23677.6762928,18312.1335015,16776.0836488,235758.79816,1634210.33425,815950.165053,1400746974.85,2760899019.67,5861549.96682,453183327.412,23738.6998466,18323.6123956,16781.262467,237518.548057,1645849.18445,824628.187856,1412412908.37,2783077575.85,5892130.63571,1.32036960622,-2.21446210709,-3.00331723396,-3.25306203537,0.0356910260071,-0.0501005562148,0.134152020325,0.0269337131941,0.0164628534526,0.0683047086846
125,22500,20643.1882107,0,14.0225033215,16199.5168373,2807826698.62,dropped_horizon_backward,1,453183327.412,23738.6998466,18323.6123956,16781.262467,237518.548057,1645849.18445,824628.187856,1412412908.37,2783077575.85,5892130.63571,456602590.176,23804.1383034,18345.2279526,16790.6307419,239749.438724,1661800.00415,832593.502632,1423674295.66,2805728392.98,5959063.6414,1.32033170963,-2.21553443598,-3.00312689055,-3.2502744854,0.034631403997,-0.0490822754252,0.134704461085,0.0269382100026,0.0164637875619,0.0685993140312
126,22600,19040.879533,0,14.0227653819,16200.1257875,2829503874.15,dropped_horizon_backward,1,456602590.176,23804.1383034,18345.2279526,16790.6307419,239749.438724,1661800.00415,832593.502632,1423674295.66,2805728392.98,5959063.6414,460226744.087,23842.2802595,18369.8026563,16798.7403168,241578.475912,1675401.30334,838381.242539,1434893072.83,2827380491.87,6007177.9386,1.32034105383,-2.21543140721,-3.00364699804,-3.25031389197,0.0332262652622,-0.048180415891,0.134544202916,0.0269728016801,0.0164769466472,0.0694428085687
