window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
39,980,12440.1958505,0,9.52968281069,16118.4966013,83904370.8069,dropped_horizon_backward,9551520.93005,59705.2226408,31013.7599493,19768.820602,1037124.44316,369756.569073,669425.060134,46429330.5017,82206215.9566,31707739.9167,9784236.11019,59715.0347541,31013.9773752,19768.914931,1037249.22111,369782.648957,669456.805206,47375936.593,83869200.2331,31733321.6952,1.12720571693,-2.19430816923,-3.10927951291,-3.45574103458,-0.00356316824124,-0.0309674910842,-0.00643395360827,0.0222112668028,0.000807220280981,-0.00687842515076
40,1000,11879.0628527,0,9.54098458896,16119.6075288,85686363.1681,dropped_horizon_backward,9784236.11019,59715.0347541,31013.9773752,19768.914931,1037249.22111,369782.648957,669456.805206,47375936.593,83869200.2331,31733321.6952,10017033.7631,60010.7337192,31052.12803,19776.2508423,1039169.39089,372154.774338,671964.602987,48373330.4185,85651761.1301,31777455.7267,1.12779834326,-2.19653889482,-3.10979856159,-3.4561077214,-0.00291509046501,-0.0295412606157,-0.00598765045329,0.0223484322217,0.00077844770242,-0.00680393279743
41,1020,12708.2958033,0,9.53337565705,16122.82795,88017493.1159,dropped_horizon_backward,10017033.7631,60010.7337192,31052.12803,19776.2508423,1039169.39089,372154.774338,671964.602987,48373330.4185,85651761.1301,31777455.7267,10290286.2793,71128.3410429,31321.8838303,19794.5638088,1045140.37974,392446.835048,690486.182318,50132931.8492,87982504.9987,31876422.4307,1.12739943435,-2.09003804669,-3.10219681217,-3.45793051213,-0.000409126221377,-0.0215288512168,0.00598880301948,0.0230356141981,0.000363307029719,-0.00690056713313
42,1040,20359.5446577,0,9.52055620863,16123.4812715,89550969.057,dropped_horizon_backward,10290286.2793,71128.3410429,31321.8838303,19794.5638088,1045140.37974,392446.835048,690486.182318,50132931.8492,87982504.9987,31876422.4307,10473852.7768,74441.7264045,31427.4218422,19806.7120403,1049057.78679,403290.4928,698689.259457,51202990.6633,89526289.9884,32008805.895,1.12672663619,-2.14548480552,-3.10607944188,-3.45431172014,-0.00143640875777,-0.0220334150091,0.0077848068673,0.0232163474432,0.000522426138869,-0.00664294508194
43,1060,15040.2542348,0,9.49739986699,16124.5356211,91282562.5797,dropped_horizon_backward,10473852.7768,74441.7264045,31427.4218422,19806.7120403,1049057.78679,403290.4928,698689.259457,51202990.6633,89526289.9884,32008805.895,10713659.9868,77374.7661835,31485.3116113,19807.3820805,1049173.46849,408288.314846,704627.221068,52671494.0554,91266024.7001,32062854.8147,1.12550903147,-2.17884671697,-3.10804901698,-3.45243645381,-0.00129444866073,-0.0179723299821,0.0028080855223,0.023439506053,0.000493923128625,-0.00657840924463
44,1080,13896.9277776,0,9.49618354005,16124.5562848,92974687.3107,dropped_horizon_backward,10713659.9868,77374.7661835,31485.3116113,19807.3820805,1049173.46849,408288.314846,704627.221068,52671494.0554,91266024.7001,32062854.8147,10956559.1658,77378.5030949,31485.4841912,19807.4124798,1049198.74543,408304.909231,704639.337478,53927065.3222,92960841.9266,32142502.7947,1.12544499263,-2.17798810728,-3.10841899205,-3.45261046875,-0.00130211682315,-0.0180746903108,0.00275565237401,0.0231215816737,0.000453148209456,-0.00652542756575
45,1100,12110.4544239,0,9.52040021258,16124.880746,94555344.5062,dropped_horizon_backward,10956559.1658,77378.5030949,31485.4841912,19807.4124798,1049198.74543,408304.909231,704639.337478,53927065.3222,92960841.9266,32142502.7947,11179217.4096,77412.0868075,31486.7446847,19807.6532687,1049298.73372,408446.070244,704691.42432,55052508.4253,94538904.5577,32209928.2513,1.12671844353,-2.17924132771,-3.1098504679,-3.4527908766,-0.00125818069709,-0.0176507922595,0.0026601769104,0.0226578670839,0.000417226253813,-0.00648897358342
46,1120,11967.5749599,0,9.50361623721,16134.7001963,97681095.4205,dropped_horizon_backward,11179217.4096,77412.0868075,31486.7446847,19807.6532687,1049298.73372,408446.070244,704691.42432,55052508.4253,94538904.5577,32209928.2513,11519886.3828,95152.7649649,32055.9857588,19846.1071594,1061531.50489,446992.761977,733678.636259,57534926.601,97661933.3776,32542366.176,1.12583619136,-2.10620956106,-3.10940760144,-3.46259593612,0.000311106884414,-0.0168174856375,-0.00219686455914,0.0201546230465,5.4086976069e-05,-0.00404182857881
47,1140,7835.35477129,0,9.50812129521,16138.3332102,99321668.0073,dropped_horizon_backward,11519886.3828,95152.7649649,32055.9857588,19846.1071594,1061531.50489,446992.761977,733678.636259,57534926.601,97661933.3776,32542366.176,11718745.6538,96730.1560709,32117.2370508,19855.2961521,1065779.42268,449484.760256,739678.72782,58639671.6572,99298817.1728,32651611.8984,1.1260731533,-2.12860344955,-3.11668133508,-3.46029714136,0.000530696629536,-0.0172715308138,0.00219334230306,0.0199528089191,6.14546100785e-06,-0.00374270707382
48,1160,3566.45874037,0,9.5007895507,16139.1914159,101055393.765,dropped_horizon_backward,11718745.6538,96730.1560709,32117.2370508,19855.2961521,1065779.42268,449484.760256,739678.72782,58639671.6572,99298817.1728,32651611.8984,11927643.4476,100411.22485,32208.7528536,19858.2211559,1066613.41689,455456.35773,746378.4252,59744214.5576,101032179.654,32706084.975,1.12568745288,-2.15839164476,-3.12073707834,-3.45793930408,0.00101948641708,-0.0141391933733,0.00254914412133,0.0200345054066,-0.000253551672731,-0.00357859216648
