window,start_idx,cost,feasibility,mass_estimate,min_info_eig,max_info_eig,extraction_status,arrival_prior_diag_0,arrival_prior_diag_1,arrival_prior_diag_2,arrival_prior_diag_3,arrival_prior_diag_4,arrival_prior_diag_5,arrival_prior_diag_6,arrival_prior_diag_7,arrival_prior_diag_8,arrival_prior_diag_9,marginal_hessian_diag_0,marginal_hessian_diag_1,marginal_hessian_diag_2,marginal_hessian_diag_3,marginal_hessian_diag_4,marginal_hessian_diag_5,marginal_hessian_diag_6,marginal_hessian_diag_7,marginal_hessian_diag_8,marginal_hessian_diag_9,theta_0,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
75,1700,640.783324312,0,6.61437293032,16571.9488842,76754597.0427,dropped_horizon_backward,9937228.09591,110657.715074,28174.9403186,19021.8786776,1106629.68413,618672.817912,782552.069842,47713689.6123,75876636.61,22099758.0961,10045870.6478,110657.84066,28174.9779229,19021.8865038,1106631.63608,618672.89022,782553.784071,48204918.3727,76731717.1649,22099908.7937,0.94462249898,-2.20148982409,-2.97967896285,-3.38023854554,-0.00819504321065,-0.00137292317165,-0.0107635529561,0.0284594708446,-0.000782819207017,-0.10167746459
76,1720,715.24908661,0,6.61745496845,16571.954607,77604669.6651,dropped_horizon_backward,10045870.6478,110657.84066,28174.9779229,19021.8865038,1106631.63608,618672.89022,782553.784071,48204918.3727,76731717.1649,22099908.7937,10153900.4618,110657.994511,28175.0179035,19021.8947195,1106633.75276,618673.011308,782555.538438,48692961.1568,77581708.4024,22100088.7513,0.944855425088,-2.20163284107,-2.97968770071,-3.38020486051,-0.00817135774196,-0.00139086349452,-0.010791822908,0.028429576564,-0.000821657080552,-0.101650397167
77,1740,846.453333101,0,6.62042492941,16571.960294,78458913.5266,dropped_horizon_backward,10153900.4618,110657.994511,28175.0179035,19021.8947195,1106633.75276,618673.011308,782555.538438,48692961.1568,77581708.4024,22100088.7513,10262557.8186,110658.145777,28175.0488232,19021.9008723,1106635.39461,618673.182527,782556.731516,49183126.4039,78435887.7252,22100347.0854,0.945079778311,-2.20177387737,-2.97968642555,-3.38016827328,-0.00814905683147,-0.00140672101893,-0.0108253913652,0.0283989102936,-0.000856179520048,-0.101623315881
78,1760,942.875141886,0,6.62334011683,16571.9658807,79333965.1479,dropped_horizon_backward,10262557.8186,110658.145777,28175.0488232,19021.9008723,1106635.39461,618673.182527,782556.731516,49183126.4039,78435887.7252,22100347.0854,10374079.5908,110658.258497,28175.0704594,19021.9052565,1106636.70262,618673.459784,782557.314853,49684711.8888,79310918.7342,22100845.2728,0.945299896038,-2.20191774506,-2.97966135958,-3.38012430393,-0.00812620683233,-0.001420147815,-0.0108694477808,0.028366909522,-0.000887370550434,-0.101594665687
79,1780,1427.12219495,0,6.62274127096,16571.9741901,80195049.8657,dropped_horizon_backward,10374079.5908,110658.258497,28175.0704594,19021.9052565,1106636.70262,618673.459784,782557.314853,49684711.8888,79310918.7342,22100845.2728,10484632.9843,110659.239147,28175.17566,19021.9366506,1106647.73508,618677.028436,782560.984559,50176748.8892,80172157.7456,22101911.7451,0.945254686753,-2.20193068923,-2.97956300532,-3.38008694279,-0.00810124441988,-0.00142851968262,-0.0108483430317,0.0283930675983,-0.000928351712599,-0.101599001725
80,1800,2322.37957298,0,6.61244061881,16571.9805458,81044745.9501,dropped_horizon_backward,10484632.9843,110659.239147,28175.17566,19021.9366506,1106647.73508,618677.028436,782560.984559,50176748.8892,80172157.7456,22101911.7451,10593140.8814,110659.754358,28175.2767948,19021.9623533,1106656.51277,618678.845001,782563.718485,50666574.399,81021967.0026,22102335.0443,0.944476408501,-2.20149787147,-2.97943154023,-3.38011306093,-0.00808939675593,-0.00142992895023,-0.0107002824049,0.0285220497574,-0.000972596336983,-0.101694968709
81,1820,1881.20212186,0,6.60331721705,16571.9867197,81922113.2521,dropped_horizon_backward,10593140.8814,110659.754358,28175.2767948,19021.9623533,1106656.51277,618678.845001,782563.718485,50666574.399,81021967.0026,22102335.0443,10705935.9099,110659.852621,28175.3744252,19021.981664,1106661.54596,618679.388335,782565.902733,51176144.2901,81899414.5558,22102643.2921,0.943786065705,-2.20109238022,-2.97929728327,-3.38012056171,-0.00807879091957,-0.00143422927173,-0.0105835983052,0.0286252982416,-0.00101523962727,-0.101777718346
82,1840,1662.98987609,0,6.59703671219,16571.9918143,82776174.809,dropped_horizon_backward,10705935.9099,110659.852621,28175.3744252,19021.981664,1106661.54596,618679.388335,782565.902733,51176144.2901,81899414.5558,22102643.2921,10815694.5053,110660.117814,28175.4655762,19022.0024079,1106666.85728,618680.567198,782568.195408,51670648.0095,82753575.341,22102971.048,0.943310282604,-2.20086724667,-2.97920386357,-3.38013333212,-0.00807048805048,-0.00144144571439,-0.0104479081151,0.0287392776666,-0.00105635966424,-0.101837520308
83,1860,1550.71799732,0,6.59139735196,16571.9967989,83628534.6887,dropped_horizon_backward,10815694.5053,110660.117814,28175.4655762,19022.0024079,1106666.85728,618680.567198,782568.195408,51670648.0095,82753575.341,22102971.048,10925247.7845,110660.396854,28175.5533908,19022.022668,1106672.17308,618681.773368,782570.433168,52164222.779,83606029.3022,22103291.9348,0.942882683653,-2.20067329208,-2.97912168233,-3.38014676367,-0.008063573954,-0.0014488682209,-0.0103170465029,0.0288484596149,-0.00109502099567,-0.101891919094
84,1880,1444.34952673,0,6.58629842971,16572.0016421,84480003.232,dropped_horizon_backward,10925247.7845,110660.396854,28175.5533908,19022.022668,1106672.17308,618681.773368,782570.433168,52164222.779,83606029.3022,22103291.9348,11034711.5718,110660.666209,28175.6383111,19022.0422467,1106677.31641,618682.933628,782572.597876,52657431.0995,84457585.8907,22103601.8387,0.942495747834,-2.20050266995,-2.97904857863,-3.38015990585,-0.00805765435491,-0.00145632300545,-0.0101927605401,0.0289516794596,-0.00113132699573,-0.101941576891
85,1900,1350.37953595,0,6.58169936336,16572.0063531,85330575.7312,dropped_horizon_backward,11034711.5718,110660.666209,28175.6383111,19022.0422467,1106677.31641,618682.933628,782572.597876,52657431.0995,84457585.8907,22103601.8387,11144082.3979,110660.928605,28175.720429,19022.0611946,1106682.30805,618684.057788,782574.693546,53150250.5971,85308240.8078,22103901.6196,0.942146486951,-2.20035358832,-2.97898394049,-3.38017284178,-0.008052614529,-0.00146377086475,-0.0100747937219,0.0290492128429,-0.00116540148213,-0.101986843927
