0.0450244,3.21171,41.2052,1.47054,-1.96582,39.1667,1.23226,0.483271,30.5477,-0.672991,-1.73381,32.6987
0.0887696,2.98682,41.0566,1.39781,-2.20642,39.4092,1.25604,0.215468,30.4457,-0.773202,-2.05981,33.0378
0.145284,2.80882,40.8955,1.3282,-2.39764,39.6311,1.29694,0.00720326,30.317,-0.864991,-2.31314,33.3366
0.202519,2.61783,40.7493,1.25198,-2.60796,39.864,1.34324,-0.199464,30.1898,-0.956737,-2.56245,33.6263
0.2473,2.48554,40.6402,1.19273,-2.75307,40.0336,1.3777,-0.334428,30.1008,-1.02832,-2.73017,33.8398
0.281421,2.40235,40.5577,1.14742,-2.844,40.1546,1.40296,-0.414655,30.0361,-1.08335,-2.83423,33.9948
0.307904,2.34672,40.4929,1.11281,-2.90431,40.2432,1.42257,-0.466379,29.9853,-1.12543,-2.90325,34.1096
0.328595,2.30736,40.4415,1.08671,-2.94623,40.3082,1.438,-0.501974,29.9444,-1.15728,-2.95142,34.1948
0.344431,2.27869,40.4015,1.06705,-2.97625,40.356,1.44988,-0.527235,29.9123,-1.18134,-2.98609,34.2582
0.356326,2.25753,40.3707,1.0524,-2.99796,40.3908,1.45879,-0.545265,29.8877,-1.19935,-3.01133,34.3052
0.365072,2.24195,40.3475,1.04169,-3.01357,40.4156,1.46504,-0.557837,29.8698,-1.2128,-3.02971,34.3399
0.372515,2.22882,40.327,1.03318,-3.02595,40.4342,1.47006,-0.567528,29.8546,-1.22393,-3.04462,34.3679
0.37505,2.22277,40.3194,1.02857,-3.03208,40.4442,1.47111,-0.571183,29.8506,-1.23007,-3.05222,34.3835
0.377235,2.21747,40.3123,1.02491,-3.03689,40.4511,1.47156,-0.573551,29.8478,-1.23538,-3.05851,34.3964
0.378,2.21425,40.3086,1.02265,-3.03957,40.4545,1.47071,-0.573849,29.8484,-1.23925,-3.06251,34.4054
0.377673,2.21261,40.3077,1.02139,-3.04064,40.4554,1.46869,-0.572479,29.8521,-1.24199,-3.06472,34.4113
