3.40688,1.15115,28.7871,1.22197,-0.474597,19.1906,2.56048,1.58454,59.586,-0.11022,-2.21064,56.6329
3.40378,1.15188,28.7862,1.21991,-0.473731,19.1885,2.55743,1.59026,59.6103,-0.112638,-2.2158,56.6567
3.40141,1.15107,28.7639,1.21965,-0.470116,19.165,2.55666,1.59156,59.6195,-0.113081,-2.21575,56.6653
3.40008,1.15084,28.7545,1.2194,-0.468071,19.1545,2.55627,1.59487,59.6332,-0.113245,-2.21829,56.6786
3.39805,1.1506,28.7445,1.21934,-0.46604,19.1432,2.55586,1.59826,59.6473,-0.113408,-2.22071,56.6922
3.39567,1.15058,28.7335,1.21806,-0.463798,19.1309,2.55396,1.60161,59.6633,-0.114829,-2.22317,56.7075
3.39217,1.15115,28.732,1.21691,-0.462933,19.1278,2.55172,1.60721,59.6857,-0.116555,-2.22796,56.7298
3.39132,1.1503,28.7122,1.21674,-0.459526,19.1073,2.55168,1.60817,59.6925,-0.116416,-2.22795,56.7359
3.38927,1.15009,28.7026,1.21663,-0.457525,19.0963,2.55119,1.61153,59.7063,-0.11665,-2.23034,56.7493
3.38776,1.14998,28.6929,1.21574,-0.455391,19.0854,2.55008,1.61459,59.7201,-0.117438,-2.23272,56.7627
3.38475,1.14994,28.6812,1.21468,-0.453184,19.0724,2.54818,1.61789,59.7358,-0.118863,-2.235,56.7779
3.3834,1.14974,28.6723,1.21434,-0.451182,19.0622,2.54773,1.62099,59.7485,-0.119071,-2.23733,56.7903
3.38106,1.14972,28.6614,1.21304,-0.44898,19.0502,2.54587,1.62409,59.7633,-0.12046,-2.23958,56.8045
3.37623,1.1503,28.6576,1.21171,-0.447997,19.0447,2.54301,1.62952,59.786,-0.122674,-2.24386,56.8267
3.37668,1.1495,28.6412,1.21155,-0.444857,19.0275,2.54351,1.63035,59.7911,-0.121975,-2.24393,56.8307
3.37551,1.14857,28.6222,1.2122,-0.441464,19.0074,2.54438,1.63213,59.7991,-0.12094,-2.24438,56.8378
3.37035,1.14996,28.6279,1.20925,-0.441844,19.0117,2.53953,1.63861,59.8264,-0.124832,-2.25023,56.8646
3.37009,1.14918,28.6112,1.20923,-0.438788,18.9943,2.53997,1.63959,59.832,-0.124178,-2.25024,56.8691
3.3668,1.14964,28.6091,1.20809,-0.43788,18.9907,2.53793,1.64458,59.852,-0.12559,-2.25426,56.8881
3.36584,1.14888,28.5921,1.20821,-0.434918,18.9731,2.53823,1.64576,59.8583,-0.125026,-2.2543,56.8933
3.36287,1.14885,28.5809,1.20704,-0.432822,18.9608,2.53631,1.64889,59.8729,-0.126354,-2.25627,56.9069
3.3613,1.14878,28.5718,1.20603,-0.430856,18.9508,2.53514,1.65176,59.8857,-0.127015,-2.25829,56.9185
3.35911,1.14867,28.5621,1.20521,-0.428912,18.9402,2.53392,1.65478,59.899,-0.127724,-2.26026,56.9306
3.35587,1.14913,28.5599,1.20406,-0.428004,18.9366,2.53192,1.6596,59.9183,-0.129133,-2.26415,56.9491
3.35329,1.14857,28.541,1.20335,-0.42494,18.917,2.53067,1.66102,59.9272,-0.129822,-2.26411,56.9566
3.35191,1.14838,28.5324,1.2029,-0.423092,18.9076,2.53021,1.66382,59.9388,-0.129937,-2.26606,56.9672
3.35053,1.1482,28.5239,1.20244,-0.421255,18.8983,2.52967,1.6667,59.9506,-0.130047,-2.26798,56.9778
3.34721,1.14871,28.5208,1.20073,-0.420262,18.8942,2.52709,1.67129,59.9699,-0.13195,-2.27171,56.9962
3.34546,1.14815,28.5043,1.20041,-0.417673,18.877,2.52669,1.67227,59.9768,-0.131985,-2.27149,57.0019
3.34322,1.148,28.4939,1.19949,-0.415449,18.8658,2.52527,1.67548,59.9901,-0.132833,-2.27363,57.0142
3.34062,1.14789,28.4826,1.19846,-0.413173,18.8534,2.52376,1.67895,60.0053,-0.133731,-2.27587,57.0281
3.33887,1.14783,28.475,1.19774,-0.411686,18.8452,2.52276,1.68125,60.0154,-0.134335,-2.27736,57.0373
3.33732,1.14774,28.4661,1.19668,-0.40982,18.8358,2.52158,1.68396,60.0274,-0.135044,-2.27926,57.0483
3.33472,1.14754,28.4566,1.19653,-0.408038,18.8253,2.52095,1.68693,60.0395,-0.135282,-2.28105,57.0596
3.33319,1.14746,28.4477,1.19549,-0.406148,18.8157,2.51979,1.68957,60.0512,-0.13596,-2.28285,57.0702
3.33104,1.14736,28.4382,1.19459,-0.4043,18.8056,2.51858,1.69234,60.0634,-0.136717,-2.28465,57.0815
