-7.64961,-8.02373,14.9412,5.68048,-0.309622,100.128,3.50544,8.38532,122.506,-0.0556496,-0.0588638,0.51649
-6.94182,-7.35989,13.5071,5.34854,0.520331,104.44,1.9143,6.02908,127.45,-0.0582759,-0.058293,0.55379
-4.29731,-4.56089,8.65543,5.42135,0.462259,105.796,2.03021,6.2668,127.997,-0.0574495,-0.055381,0.552825
-2.88061,-3.0089,5.94175,5.15446,1.7078,103.967,0.456656,4.25242,129.881,-0.0683412,-0.0594584,0.639553
-1.39241,-1.4705,3.23417,5.37203,1.7973,104.708,0.584474,4.63292,130.379,-0.0734929,-0.0620142,0.672059
-1.07809,-1.11561,2.63558,5.24025,2.39369,100.005,-0.909572,2.75477,129.201,-0.105437,-0.074439,0.864204
-0.685173,-0.718448,1.91247,5.55922,2.58397,100.241,-0.75369,3.25916,129.808,-0.130784,-0.091157,0.988531
-0.656093,-0.686722,1.941,5.75985,2.36147,95.0835,-1.93956,2.46135,128.025,-0.228413,-0.131081,1.43072
-0.54911,-0.576595,1.759,6.12793,2.54633,95.0647,-1.74683,2.98731,128.704,-0.410139,-0.224559,2.05666
-0.78057,-0.831914,2.45371,6.75079,1.98682,88.3894,-2.36916,3.1739,122.034,-1.32384,-0.574849,4.53391
-1.03621,-1.09903,3.07332,7.17026,2.1338,88.4887,-2.04308,3.67836,122.828,-5.98334,-3.58498,14.788
-5.94764,-6.52313,13.779,8.00433,1.64642,79.127,-2.31047,3.58231,102.505,-5.98434,-7.99537,35.8647
-13.7093,-14.6288,30.1207,8.16826,1.8331,79.4906,-1.67501,3.82908,100.867,-3.97284,-10.1513,47.2568
-11.8187,-9.53804,46.4235,6.9615,0.0456552,60.5289,-4.11401,0.451855,60.4516,-0.00886844,-9.51432,63.2886
-8.54179,-3.58494,51.1809,6.80801,1.20304,55.6248,-3.45094,1.52833,58.7443,0.691161,-8.80267,63.6187
-0.390472,2.14364,57.4242,5.4438,-1.22559,34.7008,-4.11725,-2.9622,9.54994,2.49958,-8.02326,104.873
0.660725,3.26155,55.9421,5.46921,-0.900198,31.8072,-3.98316,-2.76431,8.98044,2.5395,-7.96064,105.749
