12405360.49928149,109866.9550884108,36019.39259277331,10789.16775318862,10503.34082734566,-136716.1542706231,-63466.18323212229,7037738.947489636,-213754.6252239856,100993.028014443
109866.9550884108,100697.7329980045,11396.95337342526,186.0557539722018,1520.003275740391,-71493.01445728402,-30518.25724261409,150826.1727748642,-11350.25055261916,3541.086483139378
36019.39259277331,11396.95337342526,32217.11210664175,7348.281984025579,5571.227835346894,-26252.39684402608,-11415.41994730799,-4555.009225000844,-13235.03207816208,148627.6925384314
10789.16775318862,186.0557539722023,7348.281984025579,19858.94143855662,-964.5007513808358,-8642.245050443,-7062.125731369039,-7190.416369361589,-10612.72469329258,71455.35668245329
10503.34082734566,1520.003275740391,5571.227835346894,-964.5007513808359,1066935.717729728,-109641.6273683899,-63794.43650139344,-78244.69547440094,1119799.200495635,31293.88298429255
-136716.1542706231,-71493.01445728402,-26252.39684402608,-8642.245050443,-109641.6273683899,455927.4726286635,77644.9640625977,-199466.3840885409,-1109.85105781993,178466.5353749982
-63466.18323212228,-30518.25724261409,-11415.41994730799,-7062.125731369041,-63794.43650139344,77644.9640625977,746912.1034912415,-9260.053649651352,-34021.8646002936,582026.8700602456
7037738.947489636,150826.1727748642,-4555.009225000844,-7190.416369361589,-78244.69547440096,-199466.3840885409,-9260.053649651352,61600607.94426919,275615.5600597918,1003017.528493002
-213754.6252239856,-11350.25055261916,-13235.03207816208,-10612.72469329258,1119799.200495635,-1109.85105781993,-34021.8646002936,275615.5600597918,104412622.363198,-844299.4247326241
100993.0280144431,3541.086483139379,148627.6925384313,71455.35668245328,31293.88298429254,178466.5353749982,582026.8700602456,1003017.528493002,-844299.4247326244,32782431.01374062
